,,,,,Total Root Area (pixels²) at 0.3 confidence - Yolo Model v41,,,,,,,
Type,Plot ID,Genotype,Tube ID,# of Depths,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,"The model doesn't really overestimate, so there is usually at least X amount of pixels in the depth"
HPI,16_6,PI 534157,T833,7,25885,92112,56503,54471,44139,28066,3344,
HPI,16_7,PI 554649,T834,7,48960,76553,88990,59164,68286,106187,60244,
HPI,16_8,PI 534114,T835,7,271519,207621,169227,217900,142492,98576,107197,
HPI,16_10,PI 533760,T836,7,54147,22217,35353,6497,50766,80394,56738,
HPI,16_11,PI 656027,T837,7,134821,225951,135968,55454,102066,113607,193390,
HPI,16_12,PI 609456,T838,7,36002,105509,248916,43689,37929,97968,71485,
HPI,16_13,PI 533824,T839,7,58289,97084,296412,57250,18307,17113,79893,
HPI,16_15,PI 533792,T840,7,45236,141541,250224,239204,253226,151171,186381,
HPI,16_16,A. 535xR.54,T841,7,64304,97975,87862,44925,145727,210347,202285,
HPI,16_18,PI 656118,T842,7,84783,92606,71279,19377,28258,166325,112707,
HPI,16_19,PI 564163,T843,7,174478,122029,179748,204225,197947,197023,129586,
HPI,16_20,PI 656050,T844,7,87371,119542,67316,146279,155866,132436,70756,
HPI,16_21,PI 533855,T845,7,81267,166921,43241,38182,128137,124552,66587,
HPI,16_22,A.522xR.42,T846,7,99173,107276,52091,19925,34195,31572,62016,
HPI,16_23,PI 656024,T847,7,32927,60741,73611,22077,3545,14127,114546,
HPI,16_24,PI 656031,T848,7,47834,126388,57690,56101,135961,119170,43064,
HPI,16_25,PI 561472,T849,7,58418,139916,105393,5519,27863,122417,133682,
HPI,16_26,A.506xR.54,T850,7,83811,117796,92466,63474,74129,116847,98915,
HPI,16_27,PI 533972,T851,7,36902,61905,41768,42408,24412,19783,16933,
HPI,16_28,PI 561072,T852,7,67051,53352,33902,71377,77647,31612,31133,
HPI,16_29,PI 656093,T853,7,34139,28476,39381,21647,24113,44130,29191,
HPI,16_30,PI 534163,T854,7,77852,103975,76080,108106,117358,35753,65587,
HPI,16_31,PI 656070,T855,7,21174,58770,75151,48616,20977,86373,11719,
HPI,16_33,PI 656012,T856,6,47603,51355,73042,108212,65424,11901,,
HPI,16_34,PI 533924,T857,7,47130,74836,55437,31572,35230,20970,72665,
HPI,16_35,PI 533965,T858,7,50626,81937,70360,143064,156263,145101,128670,
HPI,16_9,PI 534127,T859,7,42688,95189,161414,207786,131255,110552,44600,
REU,16_60,PI 595745 & PI 601415 & PI 576364,T863,6,146164,137582,135725,68618,38160,7966,,
REU,16_67,PI 576366 & PI 534105 & PI 576364,T870,5,107321,112463,127371,59588,55897,,,
